z xi(0) xi(1) xi(2) xi(3) xi(4) xi(5) xi(6) xi(7) xi(8) xi(9) xi(10)
2.5446 0.0990953 0.0418347 0.0134719 0.00697172 0.00424472 0.00307484 0.00195834 0.00186297 0.00233306 0.00254345 0.00345087
2.5483 0.100272 0.0419881 0.0131858 0.00711545 0.00380955 0.00283387 0.00265263 0.00252942 0.00235287 0.00253689 0.00425236
2.552 0.0991655 0.0405396 0.0127502 0.00736034 0.00489984 0.00297439 0.00232576 0.00276627 0.00258216 0.00281407 0.00377789
2.5557 0.098971 0.0422763 0.0135855 0.00755684 0.00490466 0.00435061 0.00349799 0.00310333 0.00278073 0.00223367 0.00306179
2.5594 0.0974183 0.0414021 0.0140231 0.00783806 0.00470649 0.00373707 0.00271009 0.00253859 0.00249304 0.00271665 0.00362607
2.5631 0.0995854 0.0421419 0.0141257 0.00760646 0.00462956 0.00246509 0.00202945 0.00205856 0.00236089 0.00243035 0.00368118
2.5668 0.0977466 0.0417124 0.0141891 0.00764907 0.00540672 0.00324649 0.0027251 0.00257727 0.00245091 0.00323696 0.00400896
2.5705 0.0983366 0.0414699 0.0133795 0.00800949 0.00432314 0.00261026 0.00252635 0.00271898 0.00255333 0.00235967 0.00316123
2.5742 0.0990717 0.0417287 0.0134222 0.00742608 0.00508835 0.00411501 0.00363584 0.00223034 0.00144023 0.00200924 0.00308706
2.5779 0.101798 0.043056 0.0138739 0.00784505 0.0055357 0.00311983 0.00199949 0.00241751 0.00215551 0.00225874 0.00286613
2.5816 0.107401 0.0408301 0.01226 0.00814904 0.00415556 0.00313342 0.00296445 0.00217972 0.00264864 0.00207935 0.00252608
2.5853 0.109173 0.0295806 0.0129141 0.0071802 0.00540855 0.003859 0.00268081 0.00190838 0.00172401 0.00150912 0.00370247
2.589 0.103216 0.0440065 0.0140485 0.00647962 0.00325464 0.00286508 0.00305934 0.00280135 0.00283216 0.0030297 0.00383108
2.5927 0.101875 0.0424612 0.0135185 0.00754685 0.00421697 0.00239424 0.00260254 0.00359746 0.00220911 0.00207165 0.00355953
2.5964 0.101926 0.0427757 0.0131323 0.00785371 0.00542646 0.00289511 0.00206543 0.00211534 0.00113572 0.00157513 0.00231093
2.6001 0.102543 0.0427006 0.0135463 0.00763622 0.00538431 0.00353046 0.00281717 0.00260604 0.00258049 0.00294735 0.0036384
2.6038 0.101634 0.0423459 0.0140877 0.00836439 0.00482797 0.00299405 0.00148132 0.00192884 0.00143634 0.00199997 0.00354745
2.6075 0.102026 0.0422489 0.0136853 0.00747237 0.00442568 0.00399649 0.00235881 0.00189434 0.00286485 0.00258493 0.00296529
2.6112 0.103747 0.0438666 0.01422 0.00718117 0.00418954 0.00300757 0.00225564 0.00254003 0.00221395 0.00213646 0.00301313
2.6149 0.102857 0.0429037 0.0141192 0.007447 0.00455331 0.00292537 0.00244865 0.00115601 0.00158286 0.00218343 0.00351224
2.6186 0.105032 0.0433394 0.0141913 0.0077089 0.00496531 0.00364439 0.00292127 0.00223402 0.0026072 0.00227119 0.00237529
2.6223 0.105687 0.0444995 0.0142821 0.00828729 0.00519527 0.00307294 0.00201678 0.00189796 0.00227842 0.00263951 0.00347652
2.626 0.104498 0.0428876 0.013332 0.00788257 0.00545267 0.0035436 0.00197985 0.00179588 0.00291317 0.00312047 0.00454329
2.6297 0.105709 0.0429496 0.0138573 0.00879131 0.00565932 0.0042234 0.00266065 0.00251193 0.00156983 0.00227595 0.00379712
2.6334 0.106296 0.0431218 0.0143504 0.00780776 0.00481326 0.00366812 0.00293388 0.00261571 0.00242813 0.0028332 0.00383158
2.6371 0.106436 0.0433426 0.0140983 0.00855146 0.0052111 0.00337094 0.00277142 0.00250153 0.00247505 0.0032619 0.00411045
2.6408 0.107249 0.0446469 0.0148324 0.00845456 0.00556621 0.00350051 0.00329974 0.00180348 0.00200501 0.00301146 0.00354462
2.6445 0.109355 0.0452161 0.0146314 0.00790061 0.00540669 0.00380677 0.00230584 0.00200525 0.00345416 0.00320164 0.0041978
2.6482 0.108437 0.0462758 0.0153391 0.00964397 0.00643201 0.00416235 0.00285696 0.00224798 0.00216188 0.00212012 0.00366014
2.6519 0.109671 0.0449011 0.0144446 0.0082138 0.0048627 0.00403277 0.00222621 0.00184774 0.00168151 0.00270516 0.00400662
2.6556 0.108588 0.0447257 0.0145504 0.00797032 0.00480827 0.00338033 0.00315374 0.00333881 0.00287641 0.0029642 0.00435629
2.6593 0.11189 0.0463364 0.0143504 0.00767882 0.00464041 0.00347826 0.00248289 0.00258917 0.00194762 0.00253562 0.00401576
2.663 0.109512 0.0467711 0.0157426 0.00918552 0.00521091 0.00352281 0.0022883 0.00118664 0.00213639 0.00302056 0.00399285
2.6667 0.109078 0.0464609 0.0163384 0.00880753 0.00592455 0.00391299 0.00319018 0.00244851 0.00211063 0.00262546 0.00389343
2.6704 0.109564 0.0455172 0.0153922 0.00930442 0.00636906 0.00509903 0.00328699 0.00234334 0.00245511 0.00231217 0.00418778
2.6741 0.110273 0.0460165 0.0148308 0.00835597 0.00553998 0.00401224 0.00236507 0.0024422 0.00279442 0.00291762 0.00393735
2.6778 0.110407 0.0470808 0.0150105 0.00816003 0.00539668 0.00265239 0.00193896 0.00129473 0.00258913 0.00319533 0.00449025
